ID,Branch,City,Member,Product Category,Unit price,Quantity,VAT,Total,Date,Time,Payment,gross margin %,Customer Satisfaction
750-67-8428,A,Manchester,Member,Health and beauty,74.69,7,104.566,627.396,05-01-19,13:08,Ewallet,5.6,9.1
226-31-3081,C,Leeds,Normal,Electronic accessories,15.28,5,15.28,91.68,08-03-19,10:29,Cash,5.6,9.6
631-41-3108,A,Manchester,Normal,Home and lifestyle,46.33,7,64.862,389.172,03-03-19,13:23,Credit card,5.6,7.4
123-19-1176,A,Manchester,Member,Health and beauty,58.22,8,93.152,558.912,27-01-19,20:33,Ewallet,5.6,NA
373-73-7910,A,Manchester,Normal,Sports and travel,86.31,7,120.834,725.004,08-02-19,10:37,Ewallet,5.6,5.3
699-14-3026,C,Leeds,Normal,Electronic accessories,85.39,7,119.546,717.276,25-03-19,18:30,Ewallet,5.6,4.1
355-53-5943,A,Manchester,Member,Electronic accessories,68.84,6,82.608,495.648,25-02-19,14:36,Ewallet,5.6,5.8
315-22-5665,C,Leeds,Normal,Home and lifestyle,73.56,10,147.12,882.72,24-02-19,11:38,Ewallet,5.6,8
665-32-9167,A,Manchester,Member,Health and beauty,36.26,2,14.504,87.024,10-01-19,17:15,Credit card,5.6,7.2
692-92-5582,B,Liverpool,Member,Food and beverages,54.84,3,32.904,197.424,20-02-19,13:27,Credit card,5.6,5.9
351-62-0822,B,Liverpool,Member,Fashion accessories,14.48,4,11.584,69.504,06-02-19,18:07,Ewallet,5.6,4.5
529-56-3974,B,Liverpool,Member,Electronic accessories,25.51,4,20.408,122.448,09-03-19,17:03,Cash,5.6,NA
365-64-0515,A,Manchester,Normal,Electronic accessories,46.95,5,46.95,281.7,12-02-19,10:25,Ewallet,5.6,7.1
252-56-2699,A,Manchester,Normal,Food and beverages,43.19,10,86.38,518.28,07-02-19,16:48,Ewallet,5.6,8.2
829-34-3910,A,Manchester,Normal,Health and beauty,71.38,10,142.76,856.56,29-03-19,19:21,Cash,5.6,5.7
299-46-1805,B,Liverpool,Member,Sports and travel,93.72,6,112.464,674.784,15-01-19,16:19,Cash,5.6,4.5
656-95-9349,A,Manchester,Member,Health and beauty,68.93,7,96.502,579.012,11-03-19,11:03,Credit card,5.6,4.6
765-26-6951,A,Manchester,Normal,Sports and travel,72.61,6,87.132,522.792,01-01-19,10:39,Credit card,5.6,NA
329-62-1586,A,Manchester,Normal,Food and beverages,54.67,3,32.802,196.812,21-01-19,18:00,Credit card,5.6,8.6
319-50-3348,B,Liverpool,Normal,Home and lifestyle,40.3,2,16.12,96.72,11-03-19,15:30,Ewallet,5.6,4.4
300-71-4605,C,Leeds,Member,Electronic accessories,86.04,5,86.04,516.24,25-02-19,11:24,Ewallet,5.6,4.8
371-85-5789,B,Liverpool,Normal,Health and beauty,87.98,3,52.788,316.728,05-03-19,10:40,Ewallet,5.6,5.1
273-16-6619,B,Liverpool,Normal,Home and lifestyle,33.2,2,13.28,79.68,15-03-19,12:20,Credit card,5.6,4.4
636-48-8204,A,Manchester,Normal,Electronic accessories,34.56,5,34.56,207.36,17-02-19,11:15,Ewallet,5.6,9.9
549-59-1358,A,Manchester,Member,Sports and travel,88.63,3,53.178,319.068,02-03-19,17:36,Ewallet,5.6,6
227-03-5010,A,Manchester,Member,Home and lifestyle,52.59,8,84.144,504.864,22-03-19,19:20,Credit card,5.6,NA
649-29-6775,B,Liverpool,Normal,Fashion accessories,33.52,1,6.704,40.224,08-02-19,15:31,Cash,5.6,NA
189-17-4241,A,Manchester,Normal,Fashion accessories,87.67,2,35.068,210.408,10-03-19,12:17,Credit card,5.6,NA
145-94-9061,B,Liverpool,Normal,Food and beverages,88.36,5,88.36,530.16,25-01-19,19:48,Cash,5.6,NA
848-62-7243,A,Manchester,Normal,Health and beauty,24.89,9,44.802,268.812,15-03-19,15:36,Cash,5.6,7.4
871-79-8483,B,Liverpool,Normal,Fashion accessories,94.13,5,94.13,564.78,25-02-19,19:39,Credit card,5.6,4.8
149-71-6266,B,Liverpool,Member,Sports and travel,78.07,9,140.526,843.156,28-01-19,12:43,Cash,5.6,4.5
640-49-2076,B,Liverpool,Normal,Sports and travel,83.78,8,134.048,804.288,10-01-19,14:49,Cash,5.6,5.1
595-11-5460,A,Manchester,Normal,Health and beauty,96.58,2,38.632,231.792,15-03-19,10:12,Credit card,5.6,5.1
183-56-6882,C,Leeds,Member,Food and beverages,99.42,4,79.536,477.216,06-02-19,10:42,Ewallet,5.6,7.5
232-16-2483,C,Leeds,Member,Sports and travel,68.12,1,13.624,81.744,07-01-19,12:28,Ewallet,5.6,6.8
129-29-8530,A,Manchester,Member,Sports and travel,62.62,5,62.62,375.72,10-03-19,19:15,Ewallet,5.6,7
272-65-1806,A,Manchester,Normal,Electronic accessories,60.88,9,109.584,657.504,15-01-19,17:17,Ewallet,5.6,4.7
333-73-7901,C,Leeds,Normal,Health and beauty,54.92,8,87.872,527.232,23-03-19,13:24,Ewallet,5.6,NA
777-82-7220,B,Liverpool,Member,Home and lifestyle,30.12,8,48.192,289.152,03-03-19,13:01,Cash,5.6,7.7
280-35-5823,B,Liverpool,Member,Home and lifestyle,86.72,1,17.344,104.064,17-01-19,18:45,Ewallet,5.6,NA
554-53-8700,C,Leeds,Member,Home and lifestyle,56.11,2,22.444,134.664,02-02-19,10:11,Cash,5.6,6.3
354-25-5821,B,Liverpool,Member,Sports and travel,69.12,6,82.944,497.664,08-02-19,13:03,Cash,5.6,5.6
228-96-1411,C,Leeds,Member,Food and beverages,98.7,8,157.92,947.52,04-03-19,20:39,Cash,5.6,7.6
617-15-4209,C,Leeds,Member,Health and beauty,15.37,2,6.148,36.888,16-03-19,19:47,Cash,5.6,7.2
132-32-9879,B,Liverpool,Member,Electronic accessories,93.96,4,75.168,451.008,09-03-19,18:00,Cash,5.6,9.5
370-41-7321,B,Liverpool,Member,Health and beauty,56.69,9,102.042,612.252,27-02-19,17:24,Credit card,5.6,8.4
727-46-3608,B,Liverpool,Member,Food and beverages,20.01,9,36.018,216.108,06-02-19,15:47,Ewallet,5.6,4.1
669-54-1719,B,Liverpool,Member,Electronic accessories,18.93,6,22.716,136.296,10-02-19,12:45,Credit card,5.6,8.1
574-22-5561,C,Leeds,Member,Fashion accessories,82.63,10,165.26,991.56,19-03-19,17:08,Ewallet,5.6,7.9
326-78-5178,C,Leeds,Member,Food and beverages,91.4,7,127.96,767.76,03-02-19,10:19,Cash,5.6,9.5
162-48-8011,A,Manchester,Member,Food and beverages,44.59,5,44.59,267.54,10-02-19,15:10,Cash,5.6,8.5
616-24-2851,B,Liverpool,Member,Fashion accessories,17.87,4,14.296,85.776,22-03-19,14:42,Ewallet,5.6,6.5
778-71-5554,C,Leeds,Member,Fashion accessories,15.43,1,3.086,18.516,25-01-19,15:46,Credit card,5.6,NA
242-55-6721,B,Liverpool,Normal,Home and lifestyle,16.16,2,6.464,38.784,07-03-19,11:49,Ewallet,5.6,NA
399-46-5918,C,Leeds,Normal,Electronic accessories,85.98,8,137.568,825.408,28-02-19,19:01,Cash,5.6,8.2
106-35-6779,A,Manchester,Member,Home and lifestyle,44.34,2,17.736,106.416,27-03-19,11:26,Cash,5.6,5.8
635-40-6220,A,Manchester,Normal,Health and beauty,89.6,8,143.36,860.16,07-02-19,11:28,Ewallet,5.6,6.6
817-48-8732,A,Manchester,Member,Home and lifestyle,72.35,10,144.7,868.2,20-01-19,15:55,Cash,5.6,5.4
120-06-4233,C,Leeds,Normal,Electronic accessories,30.61,6,36.732,220.392,12-03-19,20:36,Cash,5.6,9.3
285-68-5083,C,Leeds,Member,Sports and travel,24.74,3,14.844,89.064,15-02-19,17:47,Credit card,5.6,10
803-83-5989,C,Leeds,Normal,Home and lifestyle,55.73,6,66.876,401.256,24-02-19,10:55,Ewallet,5.6,7
347-34-2234,B,Liverpool,Member,Sports and travel,55.07,9,99.126,594.756,03-02-19,13:40,Ewallet,5.6,10
199-75-8169,A,Manchester,Member,Sports and travel,15.81,10,31.62,189.72,06-03-19,12:27,Credit card,5.6,8.6
853-23-2453,B,Liverpool,Member,Health and beauty,75.74,4,60.592,363.552,14-02-19,14:35,Cash,5.6,7.6
877-22-3308,A,Manchester,Member,Health and beauty,15.87,10,31.74,190.44,13-03-19,16:40,Cash,5.6,5.8
838-78-4295,C,Leeds,Normal,Health and beauty,33.47,2,13.388,80.328,10-02-19,15:43,Ewallet,5.6,6.7
109-28-2512,B,Liverpool,Member,Fashion accessories,97.61,6,117.132,702.792,07-01-19,15:01,Ewallet,5.6,9.9
232-11-3025,A,Manchester,Normal,Sports and travel,78.77,10,157.54,945.24,24-01-19,10:04,Cash,5.6,6.4
382-03-4532,A,Manchester,Member,Health and beauty,18.33,1,3.666,21.996,02-02-19,18:50,Cash,5.6,4.3
393-65-2792,C,Leeds,Normal,Food and beverages,89.48,10,178.96,1073.76,06-01-19,12:46,Credit card,5.6,9.6
796-12-2025,C,Leeds,Normal,Fashion accessories,62.12,10,124.24,745.44,11-02-19,16:19,Cash,5.6,NA
510-95-6347,B,Liverpool,Member,Food and beverages,48.52,3,29.112,174.672,05-03-19,18:17,Ewallet,5.6,4
841-35-6630,C,Leeds,Normal,Electronic accessories,75.91,6,91.092,546.552,09-03-19,18:21,Cash,5.6,8.7
287-21-9091,A,Manchester,Normal,Home and lifestyle,74.67,9,134.406,806.436,22-01-19,10:55,Ewallet,5.6,9.4
732-94-0499,C,Leeds,Normal,Electronic accessories,41.65,10,83.3,499.8,13-01-19,17:04,Credit card,5.6,5.4
263-10-3913,C,Leeds,Member,Fashion accessories,49.04,9,88.272,529.632,09-01-19,14:20,Credit card,5.6,8.6
381-20-0914,A,Manchester,Member,Fashion accessories,20.01,9,36.018,216.108,12-01-19,15:48,Credit card,5.6,NA
829-49-1914,C,Leeds,Member,Food and beverages,78.31,10,156.62,939.72,05-03-19,16:24,Ewallet,5.6,6.6
756-01-7507,C,Leeds,Normal,Health and beauty,20.38,5,20.38,122.28,22-01-19,18:56,Cash,5.6,6
870-72-4431,C,Leeds,Normal,Health and beauty,99.19,6,119.028,714.168,21-01-19,14:42,Credit card,5.6,5.5
847-38-7188,B,Liverpool,Normal,Food and beverages,96.68,3,58.008,348.048,26-01-19,19:56,Ewallet,5.6,6.4
480-63-2856,C,Leeds,Normal,Food and beverages,19.25,8,30.8,184.8,23-01-19,18:37,Ewallet,5.6,NA
787-56-0757,C,Leeds,Member,Food and beverages,80.36,4,64.288,385.728,23-02-19,18:45,Credit card,5.6,8.3
360-39-5055,C,Leeds,Member,Sports and travel,48.91,5,48.91,293.46,09-03-19,10:17,Cash,5.6,6.6
730-50-9884,C,Leeds,Normal,Sports and travel,83.06,7,116.284,697.704,05-03-19,14:31,Ewallet,5.6,4
362-58-8315,C,Leeds,Normal,Fashion accessories,76.52,5,76.52,459.12,25-03-19,10:23,Cash,5.6,9.9
633-44-8566,A,Manchester,Member,Food and beverages,49.38,7,69.132,414.792,27-03-19,20:35,Credit card,5.6,7.3
504-35-8843,A,Manchester,Normal,Sports and travel,42.47,1,8.494,50.964,02-01-19,16:57,Cash,5.6,5.7
318-68-5053,B,Liverpool,Normal,Health and beauty,76.99,6,92.388,554.328,27-02-19,17:55,Cash,5.6,6.1
565-80-5980,C,Leeds,Member,Home and lifestyle,47.38,4,37.904,227.424,23-01-19,10:25,Cash,5.6,7.1
225-32-0908,C,Leeds,Normal,Sports and travel,44.86,10,89.72,538.32,26-01-19,19:54,Ewallet,5.6,8.2
873-51-0671,A,Manchester,Member,Sports and travel,21.98,7,30.772,184.632,10-01-19,16:42,Ewallet,5.6,NA
152-08-9985,B,Liverpool,Member,Health and beauty,64.36,9,115.848,695.088,12-03-19,12:09,Credit card,5.6,8.6
512-91-0811,C,Leeds,Normal,Health and beauty,89.75,1,17.95,107.7,06-02-19,20:05,Credit card,5.6,6.6
594-34-4444,A,Manchester,Normal,Electronic accessories,97.16,1,19.432,116.592,08-03-19,20:38,Ewallet,5.6,NA
